단어,기존/시범 id,추가되는 카테고리
paper,paper,재료
paper,paper,환경
pencil,pencil,학교/문구
pen,pen,학교/문구
eraser,eraser,학교/문구
ruler,ruler,학교/문구
crayon,crayon,학교/문구
board,board,학교/문구
test,test,학교/문구
question,question,학교/문구
question,question,독해/이야기
word,word,학교/문구
page,page,학교/문구
page,page,독해/이야기
spring,spring,자연/날씨
summer,summer,자연/날씨
autumn,autumn,자연/날씨
winter,winter,자연/날씨
season,season,자연/날씨
weather,weather,자연/날씨
hot,hot,자연/날씨
hot,hot,상태
hot,hot,맛/질감
warm,warm,자연/날씨
warm,warm,상태
warm,warm,맛/질감
wet,wet,자연/날씨
wet,wet,상태
storm,storm,자연/날씨
ice,ice,자연/날씨
ice,ice,재료
shape,shape,모양
square,square,모양
square,square,상태
line,line,모양
round,round,모양
round,round,상태
thick,thick,모양
thick,thick,크기
thick,thick,상태
wide,wide,모양
wide,wide,크기
narrow,narrow,모양
narrow,narrow,크기
corner,corner,모양
side,side,모양
center,center,모양
top,top,모양
sport,sport,스포츠
soccer,soccer,스포츠
tennis,tennis,스포츠
hiking,hiking,스포츠
team,team,스포츠
ball,ball,스포츠
ball,ball,장난감
glove,glove,스포츠
score,score,스포츠
little,little,크기
deep,deep,크기
high,high,크기
low,low,크기
same,same,크기
same,same,상태
time,time,숫자/시간
hour,hour,숫자/시간
minute,minute,숫자/시간
half,half,숫자/시간
early,early,숫자/시간
late,late,숫자/시간
now,now,숫자/시간
soon,soon,숫자/시간
before,before,숫자/시간
after,after,숫자/시간
always,always,숫자/시간
often,often,숫자/시간
never,never,숫자/시간
space,space,우주
rocket,rocket,우주
rocket,rocket,교통
toy,toy,장난감
doll,doll,장난감
robot,robot,장난감
robot,robot,과학기술
car,car,장난감
car,car,교통
train,train,장난감
train,train,교통
balloon,balloon,장난감
bicycle,bicycle,장난감
bicycle,bicycle,교통
bus,bus,교통
taxi,taxi,교통
truck,truck,교통
subway,subway,교통
plane,plane,교통
ship,ship,교통
boat,boat,교통
ticket,ticket,교통
pilot,pilot,교통
pilot,pilot,직업
print,print,과학기술
good,good,상태
bad,bad,상태
new,new,상태
fast,fast,상태
slow,slow,상태
easy,easy,상태
soft,soft,상태
soft,soft,맛/질감
full,full,상태
loud,loud,상태
quiet,quiet,상태
quiet,quiet,성격
bright,bright,상태
dark,dark,상태
sweet,sweet,상태
sweet,sweet,맛/질감
busy,busy,상태
safe,safe,상태
wrong,wrong,상태
ready,ready,상태
in,in,위치/방향
on,on,위치/방향
under,under,위치/방향
over,over,위치/방향
below,below,위치/방향
beside,beside,위치/방향
between,between,위치/방향
behind,behind,위치/방향
near,near,위치/방향
far,far,위치/방향
around,around,위치/방향
through,through,위치/방향
across,across,위치/방향
up,up,위치/방향
down,down,위치/방향
left,left,위치/방향
here,here,위치/방향
there,there,위치/방향
what,what,의문사
who,who,의문사
where,where,의문사
when,when,의문사
why,why,의문사
which,which,의문사
how,how,의문사
fresh,fresh,맛/질감
wood,wood,재료
gas,gas,과학
sound,sound,과학
animal,animal,과학
land,land,환경
bottle,bottle,환경
middle,middle,독해/이야기
end,end,독해/이야기
problem,problem,독해/이야기
idea,idea,독해/이야기
next,next,독해/이야기
then,then,독해/이야기
because,because,독해/이야기
