id,word,품사,뜻,예문,카테고리,소분류,레벨,뜻 번호
guess,guess,동사,추측하다,Guess the answer.,동작,생각·학습,2,1
choose,choose,동사,고르다,Choose one card.,동작,생각·학습,2,1
decide,decide,동사,결정하다,Let's decide together.,동작,생각·학습,3,1
wish,wish,동사,바라다,I wish for a puppy.,동작,마음·관계,2,1
share,share,동사,나누다,Let's share the snack.,동작,마음·관계,2,1
add,add,동사,더하다,Add two and three.,동작,생각·학습,2,1
freeze,freeze,동사,얼다,Water can freeze.,동작,변화·시작·끝,3,1
melt,melt,동사,녹다,The ice will melt.,동작,변화·시작·끝,3,1
tear,tear,동사,찢다,Don't tear the paper.,동작,손으로 하는 동작,3,1
pour,pour,동사,붓다,Pour the milk.,동작,손으로 하는 동작,3,1
mix,mix,동사,섞다,Mix the eggs and milk.,동작,손으로 하는 동작,2,1
shake,shake,동사,흔들다,Shake the bottle.,동작,손으로 하는 동작,2,1
press,press,동사,누르다,Press the button.,동작,손으로 하는 동작,3,1
clap,clap,동사,박수 치다,Let's clap our hands.,동작,말하기·표현,1,1
wave,wave,동사,손을 흔들다,I wave to my friend.,동작,말하기·표현,2,1
nod,nod,동사,고개를 끄덕이다,She nods her head.,동작,말하기·표현,3,1
bow,bow,동사,절하다,We bow to the teacher.,동작,말하기·표현,3,1
hug,hug,동사,껴안다,I hug my mom.,동작,말하기·표현,1,1
kiss,kiss,동사,입맞추다,I kiss my baby sister.,동작,말하기·표현,1,1
cheer,cheer,동사,응원하다,Let's cheer for our team.,동작,말하기·표현,2,1
color-2,color,동사,색칠하다,I color the picture.,동작,생각·학습,1,2
dress-2,dress,동사,옷을 입다,I dress myself in the morning.,동작,생활,2,2
brush-2,brush,동사,"솔질하다, 이를 닦다",I brush my teeth.,동작,생활,2,2
point-2,point,동사,가리키다,Point to the picture.,동작,말하기·표현,2,2
plant-2,plant,동사,심다,Let's plant a tree.,동작,변화·시작·끝,2,2
rest-2,rest,동사,쉬다,I rest after lunch.,동작,생활,2,2
practice-2,practice,동사,연습하다,I practice English every day.,동작,생각·학습,2,2
empty-2,empty,동사,비우다,Empty the bag.,동작,손으로 하는 동작,3,2
