id,word,품사,뜻,예문,카테고리,추가 카테고리,소분류,레벨,뜻 번호
bone,bone,명사,뼈,The dog has a bone.,몸,,속·피부,2,1
brain,brain,명사,"뇌, 머리",Use your brain.,몸,,속·피부,2,1
blood,blood,명사,피,The cut has blood.,몸,,속·피부,2,1
back-2,back,명사,등,My back hurts.,몸,,몸통,1,2
t-shirt,T-shirt,명사,티셔츠,I wear a T-shirt.,옷,,윗옷,1,1
blouse,blouse,명사,블라우스,She wears a white blouse.,옷,,윗옷,3,1
sweatshirt,sweatshirt,명사,맨투맨 티셔츠,I wear a sweatshirt.,옷,,윗옷,3,1
hoodie,hoodie,명사,후드티,My hoodie is warm.,옷,,윗옷,3,1
jacket,jacket,명사,"재킷, 점퍼",Put on your jacket.,옷,,윗옷,2,1
vest,vest,명사,조끼,He wears a vest.,옷,,윗옷,3,1
trousers,trousers,명사,바지,These trousers are long.,옷,,아래옷,3,1
jeans,jeans,명사,청바지,I like blue jeans.,옷,,아래옷,2,1
shorts,shorts,명사,반바지,I wear shorts in summer.,옷,,아래옷,1,1
pajamas,pajamas,명사,잠옷,I wear pajamas at night.,옷,,잠옷·속옷,2,1
underwear,underwear,명사,속옷,Put your underwear in the bag.,옷,,잠옷·속옷,2,1
swimsuit,swimsuit,명사,수영복,I wear a swimsuit at the pool.,옷,,잠옷·속옷,2,1
uniform,uniform,명사,"교복, 제복",I wear a school uniform.,옷,,잠옷·속옷,2,1
sneakers,sneakers,명사,운동화,I run in my sneakers.,옷,,신발·양말,2,1
boots,boots,명사,부츠,I wear boots in winter.,옷,,신발·양말,2,1
sandals,sandals,명사,샌들,I wear sandals in summer.,옷,,신발·양말,2,1
slippers,slippers,명사,슬리퍼,Put on your slippers.,옷,,신발·양말,2,1
helmet,helmet,명사,헬멧,Wear a helmet on your bike.,옷,스포츠,모자·소품,2,1
scarf,scarf,명사,목도리,I wear a scarf in winter.,옷,,모자·소품,2,1
mittens,mittens,명사,벙어리장갑,The baby has red mittens.,옷,,모자·소품,3,1
belt,belt,명사,허리띠,He wears a black belt.,옷,,모자·소품,2,1
zipper,zipper,명사,지퍼,Close the zipper.,옷,,모자·소품,3,1
sunglasses,sunglasses,명사,선글라스,I wear sunglasses in summer.,옷,,모자·소품,2,1
backpack,backpack,명사,"배낭, 책가방",My backpack is heavy.,옷,학교/문구,모자·소품,1,1
handbag,handbag,명사,핸드백,Mom has a new handbag.,옷,,모자·소품,3,1
tie-2,tie,명사,넥타이,Dad wears a tie.,옷,,모자·소품,3,2
socks,socks,명사,양말,I wear socks in winter.,옷,,신발·양말,1,1
shoes,shoes,명사,신발,I put on my shoes.,옷,,신발·양말,1,1
gloves,gloves,명사,장갑,I wear gloves in winter.,옷,,모자·소품,2,1
purple,purple,형용사,보라색의,I like purple grapes.,색깔,,,1,1
violet,violet,형용사,"제비꽃색의, 보라색의",The flower is violet.,색깔,,,3,1
golden,golden,형용사,황금빛의,She has golden hair.,색깔,,,3,1
beige,beige,형용사,베이지색의,The sofa is beige.,색깔,,,3,1
navy,navy,형용사,남색의,He wears a navy jacket.,색깔,,,3,1
sky-blue,sky blue,형용사,하늘색의,The sky is sky blue.,색깔,,,2,1
light-blue,light blue,형용사,연한 파란색의,I have a light blue bag.,색깔,,,2,1
dark-blue,dark blue,형용사,진한 파란색의,The sea is dark blue.,색깔,,,2,1
light-green,light green,형용사,연두색의,The leaf is light green.,색깔,,,2,1
dark-green,dark green,형용사,진한 초록색의,The tree is dark green.,색깔,,,2,1
turquoise,turquoise,형용사,청록색의,The water is turquoise.,색깔,,,3,1
mint,mint,형용사,민트색의,I have a mint bag.,색깔,,,3,1
coral,coral,형용사,산호색의,She wears a coral dress.,색깔,,,3,1
colorful,colorful,형용사,알록달록한,The kite is colorful.,색깔,상태,,2,1
orange-2,orange,형용사,주황색의,The pumpkin is orange.,색깔,,,1,2
peach-2,peach,형용사,복숭아색의,She has a peach dress.,색깔,,,3,2
cream-2,cream,형용사,크림색의,The wall is cream.,색깔,,,3,2
grey,grey,형용사,회색의,The cat is grey.,색깔,,,2,1
neighborhood,neighborhood,명사,동네,I live in a nice neighborhood.,장소,,동네·건물,2,1
building,building,명사,건물,The building is tall.,장소,,동네·건물,2,1
factory,factory,명사,공장,My uncle works in a factory.,장소,,동네·건물,3,1
bus-stop,bus stop,명사,버스 정류장,I wait at the bus stop.,장소,교통,동네·건물,2,1
subway-station,subway station,명사,지하철역,The subway station is near.,장소,,동네·건물,2,1
playground,playground,명사,"놀이터, 운동장",We play at the playground.,장소,학교/문구,놀이·문화,1,1
movie-theater,movie theater,명사,영화관,We go to the movie theater.,장소,,놀이·문화,2,1
museum,museum,명사,박물관,We visit the museum.,장소,,놀이·문화,2,1
aquarium,aquarium,명사,수족관,I see fish at the aquarium.,장소,,놀이·문화,2,1
clinic,clinic,명사,"병원, 의원",The clinic is near my house.,장소,건강/질병,공공시설,3,1
pharmacy,pharmacy,명사,약국,I buy medicine at the pharmacy.,장소,건강/질병,공공시설,2,1
post-office,post office,명사,우체국,I send a letter at the post office.,장소,,공공시설,2,1
police-station,police station,명사,경찰서,The police station is on the street.,장소,,공공시설,2,1
fire-station,fire station,명사,소방서,The fire station has a red truck.,장소,,공공시설,2,1
bakery,bakery,명사,빵집,I buy bread at the bakery.,장소,,가게,2,1
cafe,cafe,명사,카페,We drink juice at the cafe.,장소,,가게,2,1
bookstore,bookstore,명사,서점,I buy a book at the bookstore.,장소,,가게,2,1
toy-store,toy store,명사,장난감 가게,I want to go to the toy store.,장소,,가게,2,1
clothing-store,clothing store,명사,옷 가게,We go to the clothing store.,장소,,가게,2,1
department-store,department store,명사,백화점,Mom is at the department store.,장소,,가게,2,1
shopping-mall,shopping mall,명사,쇼핑몰,The shopping mall is big.,장소,,가게,2,1
grocery-store,grocery store,명사,식료품점,We buy milk at the grocery store.,장소,,가게,3,1
korea,Korea,명사,한국,I live in Korea.,나라/세계,,아시아,1,1
south-korea,South Korea,명사,대한민국,South Korea is in Asia.,나라/세계,,아시아,2,1
china,China,명사,중국,China is a big country.,나라/세계,,아시아,1,1
japan,Japan,명사,일본,Japan is near Korea.,나라/세계,,아시아,1,1
india,India,명사,인도,India is a big country.,나라/세계,,아시아,2,1
thailand,Thailand,명사,태국,I want to visit Thailand.,나라/세계,,아시아,2,1
vietnam,Vietnam,명사,베트남,Vietnam is warm.,나라/세계,,아시아,2,1
philippines,Philippines,명사,필리핀,The Philippines has many islands.,나라/세계,,아시아,3,1
indonesia,Indonesia,명사,인도네시아,Indonesia has many islands.,나라/세계,,아시아,3,1
singapore,Singapore,명사,싱가포르,Singapore is a small country.,나라/세계,,아시아,3,1
malaysia,Malaysia,명사,말레이시아,Malaysia is warm all year.,나라/세계,,아시아,3,1
australia,Australia,명사,호주,Kangaroos live in Australia.,나라/세계,,아메리카·오세아니아,2,1
new-zealand,New Zealand,명사,뉴질랜드,New Zealand has many sheep.,나라/세계,,아메리카·오세아니아,2,1
canada,Canada,명사,캐나다,It is cold in Canada.,나라/세계,,아메리카·오세아니아,2,1
united-states,United States,명사,미국,He is from the United States.,나라/세계,,아메리카·오세아니아,2,1
america,America,명사,"미국, 아메리카",She lives in America.,나라/세계,,아메리카·오세아니아,1,1
mexico,Mexico,명사,멕시코,I want to visit Mexico.,나라/세계,,아메리카·오세아니아,2,1
brazil,Brazil,명사,브라질,Brazil is a big country.,나라/세계,,아메리카·오세아니아,2,1
argentina,Argentina,명사,아르헨티나,Argentina is in South America.,나라/세계,,아메리카·오세아니아,3,1
united-kingdom,United Kingdom,명사,영국,London is in the United Kingdom.,나라/세계,,유럽·아프리카,3,1
england,England,명사,"잉글랜드, 영국",England is a country.,나라/세계,,유럽·아프리카,2,1
france,France,명사,프랑스,Paris is in France.,나라/세계,,유럽·아프리카,2,1
germany,Germany,명사,독일,Germany is in Europe.,나라/세계,,유럽·아프리카,2,1
italy,Italy,명사,이탈리아,Pizza is from Italy.,나라/세계,,유럽·아프리카,2,1
spain,Spain,명사,스페인,Spain is a warm country.,나라/세계,,유럽·아프리카,2,1
greece,Greece,명사,그리스,Greece is in Europe.,나라/세계,,유럽·아프리카,3,1
egypt,Egypt,명사,이집트,The pyramids are in Egypt.,나라/세계,,유럽·아프리카,2,1
south-africa,South Africa,명사,남아프리카 공화국,South Africa is in Africa.,나라/세계,,유럽·아프리카,3,1
turkey-2,Turkey,명사,튀르키예(터키),Turkey is a country.,나라/세계,,유럽·아프리카,3,2
language,language,명사,"언어, 말",English is a language.,나라/세계,,언어·국적,2,1
korean,Korean,명사,"한국어, 한국인",I speak Korean.,나라/세계,학교/문구,언어·국적,1,1
chinese,Chinese,명사,"중국어, 중국인",She speaks Chinese.,나라/세계,,언어·국적,2,1
japanese,Japanese,명사,"일본어, 일본인",He speaks Japanese.,나라/세계,,언어·국적,2,1
english,English,명사,"영어, 영국인",I study English.,나라/세계,학교/문구,언어·국적,1,1
american,American,명사,"미국인, 미국의",He is American.,나라/세계,,언어·국적,2,1
canadian,Canadian,명사,"캐나다인, 캐나다의",She is Canadian.,나라/세계,,언어·국적,3,1
australian,Australian,명사,"호주인, 호주의",He is Australian.,나라/세계,,언어·국적,3,1
french,French,명사,"프랑스어, 프랑스인",She speaks French.,나라/세계,,언어·국적,2,1
german,German,명사,"독일어, 독일인",He speaks German.,나라/세계,,언어·국적,3,1
italian,Italian,명사,"이탈리아어, 이탈리아인",I like Italian food.,나라/세계,,언어·국적,3,1
spanish,Spanish,명사,"스페인어, 스페인인",She speaks Spanish.,나라/세계,,언어·국적,3,1
festival,festival,명사,축제,We go to the festival.,행사/활동,,축제·대회,2,1
celebration,celebration,명사,"축하, 기념 행사",We have a big celebration.,행사/활동,,축제·대회,3,1
ceremony,ceremony,명사,"의식, 식",The ceremony starts at ten.,행사/활동,,축제·대회,3,1
wedding,wedding,명사,결혼식,We go to a wedding.,행사/활동,,축제·대회,2,1
concert,concert,명사,"음악회, 콘서트",We go to a concert.,행사/활동,취미/오락,축제·대회,2,1
parade,parade,명사,"퍼레이드, 행진",I see a parade.,행사/활동,,축제·대회,3,1
contest,contest,명사,"대회, 경연",She won the contest.,행사/활동,,축제·대회,3,1
competition,competition,명사,"시합, 경쟁",We have a dance competition.,행사/활동,,축제·대회,4,1
talent-show,talent show,명사,장기 자랑,I sing in the talent show.,행사/활동,,축제·대회,3,1
flea-market,flea market,명사,벼룩시장,We go to the flea market.,행사/활동,,축제·대회,3,1
bazaar,bazaar,명사,바자회,We sell toys at the bazaar.,행사/활동,,축제·대회,4,1
field-trip,field trip,명사,"현장 학습, 소풍",We go on a field trip.,행사/활동,,학교 행사,2,1
sports-day,sports day,명사,운동회,Sports day is in May.,행사/활동,,학교 행사,2,1
school-festival,school festival,명사,학교 축제,We sing at the school festival.,행사/활동,,학교 행사,3,1
graduation,graduation,명사,졸업,Graduation is in February.,행사/활동,,학교 행사,3,1
entrance-ceremony,entrance ceremony,명사,입학식,The entrance ceremony is in March.,행사/활동,,학교 행사,3,1
summer-camp,summer camp,명사,여름 캠프,I go to summer camp.,행사/활동,,학교 행사,2,1
winter-camp,winter camp,명사,겨울 캠프,I go to winter camp.,행사/활동,,학교 행사,3,1
family-day,family day,명사,가족의 날,We eat out on family day.,행사/활동,,기념일,3,1
parents-day,parents' day,명사,어버이날,Parents' day is in May.,행사/활동,휴일/기념일,기념일,3,1
children-s-day,children's day,명사,어린이날,Children's Day is on May 5.,행사/활동,휴일/기념일,기념일,2,1
teacher-s-day,teacher's day,명사,스승의 날,I make a card for Teacher's Day.,행사/활동,휴일/기념일,기념일,3,1
monday,Monday,명사,월요일,I go to school on Monday.,요일/달력,,요일,1,1
tuesday,Tuesday,명사,화요일,We have art on Tuesday.,요일/달력,,요일,1,1
wednesday,Wednesday,명사,수요일,I have piano on Wednesday.,요일/달력,,요일,1,1
thursday,Thursday,명사,목요일,We swim on Thursday.,요일/달력,,요일,1,1
friday,Friday,명사,금요일,Friday is fun.,요일/달력,,요일,1,1
saturday,Saturday,명사,토요일,I play on Saturday.,요일/달력,,요일,1,1
sunday,Sunday,명사,일요일,I rest on Sunday.,요일/달력,,요일,1,1
weekday,weekday,명사,평일,I go to school on a weekday.,요일/달력,,요일,3,1
weekend,weekend,명사,주말,I play soccer on the weekend.,요일/달력,,요일,2,1
january,January,명사,1월,It is cold in January.,요일/달력,,월,1,1
february,February,명사,2월,February is short.,요일/달력,,월,2,1
april,April,명사,4월,Flowers bloom in April.,요일/달력,,월,1,1
june,June,명사,6월,My birthday is in June.,요일/달력,,월,1,1
july,July,명사,7월,It is hot in July.,요일/달력,,월,1,1
august,August,명사,8월,We go to the beach in August.,요일/달력,,월,2,1
september,September,명사,9월,School starts in September.,요일/달력,,월,2,1
october,October,명사,10월,Leaves fall in October.,요일/달력,,월,2,1
november,November,명사,11월,It is cool in November.,요일/달력,,월,2,1
december,December,명사,12월,Christmas is in December.,요일/달력,,월,2,1
cartoon,cartoon,명사,만화 영화,I watch a cartoon.,취미/오락,,영상·놀이,1,1
animation,animation,명사,애니메이션,I like animation.,취미/오락,,영상·놀이,3,1
comic,comic,명사,만화책,I read a comic.,취미/오락,,영상·놀이,2,1
tv,TV,명사,텔레비전,I watch TV after dinner.,취미/오락,과학기술,영상·놀이,1,1
youtube,YouTube,명사,유튜브,I watch YouTube.,취미/오락,,영상·놀이,2,1
theater,theater,명사,극장,We go to the theater.,취미/오락,,영상·놀이,3,1
photograph,photograph,명사,사진,This is a photograph of my family.,취미/오락,,영상·놀이,3,1
photo,photo,명사,사진,I take a photo.,취미/오락,과학기술,영상·놀이,2,1
puzzle,puzzle,명사,퍼즐,I like puzzles.,취미/오락,장난감,게임,2,1
board-game,board game,명사,보드게임,We play a board game.,취미/오락,장난감,게임,2,1
card-game,card game,명사,카드 게임,We play a card game.,취미/오락,,게임,2,1
computer-game,computer game,명사,컴퓨터 게임,I play a computer game.,취미/오락,,게임,2,1
video-game,video game,명사,비디오 게임,He plays a video game.,취미/오락,,게임,2,1
karaoke,karaoke,명사,노래방,We go to karaoke.,취미/오락,,게임,3,1
magic,magic,명사,"마술, 마법",I like magic.,취미/오락,,게임,2,1
hobby,hobby,명사,취미,My hobby is drawing.,취미/오락,,취미 활동,2,1
camping,camping,명사,캠핑,We go camping.,취미/오락,,취미 활동,2,1
fishing,fishing,명사,낚시,Dad goes fishing.,취미/오락,스포츠,취미 활동,2,1
drawing,drawing,명사,그림 그리기,Drawing is fun.,취미/오락,,취미 활동,2,1
painting,painting,명사,"그림, 색칠하기",I like painting.,취미/오락,,취미 활동,2,1
reading,reading,명사,독서,Reading is my hobby.,취미/오락,,취미 활동,2,1
singing,singing,명사,노래 부르기,Singing is fun.,취미/오락,,취미 활동,2,1
dancing,dancing,명사,춤추기,I like dancing.,취미/오락,,취미 활동,2,1
cooking,cooking,명사,요리하기,Cooking is fun.,취미/오락,,취미 활동,2,1
collecting,collecting,명사,수집하기,Collecting stamps is my hobby.,취미/오락,,취미 활동,3,1
excited,excited,형용사,"신나는, 들뜬",I am excited about the trip.,감정,,기쁨,2,1
cheerful,cheerful,형용사,"쾌활한, 명랑한",She is a cheerful girl.,감정,성격,기쁨,3,1
joyful,joyful,형용사,아주 기쁜,The children are joyful.,감정,,기쁨,4,1
proud,proud,형용사,자랑스러운,I am proud of you.,감정,,기쁨,3,1
thankful,thankful,형용사,감사하는,I am thankful for my friends.,감정,,기쁨,3,1
grateful,grateful,형용사,고마워하는,I am grateful to my teacher.,감정,,기쁨,4,1
surprised,surprised,형용사,놀란,I am surprised.,감정,,놀람·두려움,2,1
scared,scared,형용사,무서워하는,I am scared of dogs.,감정,,놀람·두려움,2,1
frightened,frightened,형용사,겁먹은,The kitten is frightened.,감정,,놀람·두려움,3,1
worried,worried,형용사,걱정하는,Mom is worried.,감정,,놀람·두려움,3,1
nervous,nervous,형용사,긴장한,I am nervous before the test.,감정,,놀람·두려움,3,1
shy,shy,형용사,수줍어하는,She is shy.,감정,성격,놀람·두려움,2,1
embarrassed,embarrassed,형용사,"부끄러운, 당황한",I am embarrassed.,감정,,놀람·두려움,4,1
sleepy,sleepy,형용사,졸린,I am sleepy.,감정,,피곤·지루함,1,1
bored,bored,형용사,지루한,I am bored.,감정,,피곤·지루함,2,1
lonely,lonely,형용사,외로운,The old man is lonely.,감정,,슬픔·화,3,1
upset,upset,형용사,속상한,She is upset.,감정,,슬픔·화,3,1
disappointed,disappointed,형용사,실망한,I am disappointed.,감정,,슬픔·화,4,1
jealous,jealous,형용사,질투하는,He is jealous of his brother.,감정,,슬픔·화,4,1
confused,confused,형용사,혼란스러운,I am confused.,감정,,생각·마음 상태,4,1
interested,interested,형용사,관심 있는,I am interested in space.,감정,,생각·마음 상태,3,1
curious,curious,형용사,궁금한,The cat is curious.,감정,성격,생각·마음 상태,3,1
brave,brave,형용사,용감한,The firefighter is brave.,감정,성격,생각·마음 상태,2,1
calm,calm,형용사,"침착한, 고요한",Stay calm.,감정,,생각·마음 상태,3,1
relaxed,relaxed,형용사,느긋한,I feel relaxed.,감정,,생각·마음 상태,3,1
comfortable,comfortable,형용사,편안한,The sofa is comfortable.,감정,,생각·마음 상태,3,1
uncomfortable,uncomfortable,형용사,불편한,These shoes are uncomfortable.,감정,,생각·마음 상태,4,1
friendly,friendly,형용사,"친절한, 다정한",My teacher is friendly.,감정,성격,생각·마음 상태,2,1
silly,silly,형용사,"어리석은, 우스꽝스러운",You are so silly!,감정,성격,생각·마음 상태,3,1
serious,serious,형용사,진지한,He looks serious.,감정,성격,생각·마음 상태,3,1
new-year-s-day,New Year's Day,명사,설날 (1월 1일),We eat rice cake soup on New Year's Day.,휴일/기념일,,명절,2,1
lunar-new-year,Lunar New Year,명사,설날 (음력 새해),We bow to elders on Lunar New Year.,휴일/기념일,,명절,3,1
seollal,Seollal,명사,설날,We wear hanbok on Seollal.,휴일/기념일,,명절,3,1
chuseok,Chuseok,명사,추석,We see the full moon on Chuseok.,휴일/기념일,,명절,2,1
valentine-s-day,Valentine's Day,명사,밸런타인데이,I give chocolate on Valentine's Day.,휴일/기념일,,서양 기념일,2,1
easter,Easter,명사,부활절,We hunt for eggs at Easter.,휴일/기념일,,서양 기념일,3,1
halloween,Halloween,명사,핼러윈,I wear a costume on Halloween.,휴일/기념일,,서양 기념일,2,1
thanksgiving,Thanksgiving,명사,추수감사절,We eat turkey on Thanksgiving.,휴일/기념일,,서양 기념일,3,1
christmas,Christmas,명사,크리스마스,I love Christmas.,휴일/기념일,,서양 기념일,1,1
christmas-eve,Christmas Eve,명사,크리스마스 이브,We eat cake on Christmas Eve.,휴일/기념일,,서양 기념일,2,1
gift,gift,명사,선물,This gift is for you.,휴일/기념일,,기념일 물건,1,1
costume,costume,명사,"의상, 분장 옷",I wear a witch costume.,휴일/기념일,,기념일 물건,3,1
pumpkin,pumpkin,명사,호박,The pumpkin is orange.,휴일/기념일,,기념일 물건,2,1
santa-claus,Santa Claus,명사,산타 할아버지,Santa Claus brings gifts.,휴일/기념일,,기념일 물건,1,1
reindeer,reindeer,명사,순록,The reindeer pulls the sleigh.,휴일/기념일,,기념일 물건,3,1
snowman,snowman,명사,눈사람,We make a snowman.,휴일/기념일,,기념일 물건,1,1
christmas-tree,Christmas tree,명사,크리스마스 트리,The Christmas tree has lights.,휴일/기념일,,기념일 물건,1,1
stocking,stocking,명사,(크리스마스) 양말,I hang a stocking.,휴일/기념일,,기념일 물건,3,1
lucky-bag,lucky bag,명사,복주머니,I got a lucky bag.,휴일/기념일,,기념일 물건,3,1
rice-cake,rice cake,명사,떡,We eat rice cake soup.,휴일/기념일,,기념일 물건,2,1
living-room,living room,명사,거실,We watch TV in the living room.,집/가구,,방·공간,1,1
bedroom,bedroom,명사,침실,I sleep in my bedroom.,집/가구,,방·공간,1,1
bathroom,bathroom,명사,"욕실, 화장실",The bathroom is clean.,집/가구,,방·공간,1,1
dining-room,dining room,명사,식당 (집의),We eat in the dining room.,집/가구,,방·공간,3,1
balcony,balcony,명사,발코니,I have plants on the balcony.,집/가구,,방·공간,3,1
yard,yard,명사,마당,The dog plays in the yard.,집/가구,,방·공간,2,1
garage,garage,명사,차고,The car is in the garage.,집/가구,,방·공간,3,1
sofa,sofa,명사,소파,I sit on the sofa.,집/가구,,가구,1,1
couch,couch,명사,"긴 의자, 소파",The cat is on the couch.,집/가구,,가구,3,1
pillow,pillow,명사,베개,I hug my pillow.,집/가구,,가구,2,1
blanket,blanket,명사,담요,I have a warm blanket.,집/가구,,가구,2,1
shelf,shelf,명사,선반,The book is on the shelf.,집/가구,쇼핑,가구,2,1
bookshelf,bookshelf,명사,책장,The bookshelf has many books.,집/가구,,가구,2,1
closet,closet,명사,"옷장, 벽장",My clothes are in the closet.,집/가구,,가구,3,1
wardrobe,wardrobe,명사,옷장,The wardrobe is big.,집/가구,,가구,4,1
drawer,drawer,명사,서랍,Open the drawer.,집/가구,,가구,2,1
refrigerator,refrigerator,명사,냉장고,The milk is in the refrigerator.,집/가구,,가전제품,2,1
fridge,fridge,명사,냉장고,Put it in the fridge.,집/가구,,가전제품,2,1
freezer,freezer,명사,냉동실,The ice cream is in the freezer.,집/가구,,가전제품,3,1
oven,oven,명사,오븐,The cake is in the oven.,집/가구,,가전제품,2,1
microwave,microwave,명사,전자레인지,Heat it in the microwave.,집/가구,,가전제품,3,1
sink,sink,명사,"싱크대, 세면대",Wash your hands in the sink.,집/가구,과학,가전제품,2,1
dishwasher,dishwasher,명사,식기세척기,The dishwasher is on.,집/가구,,가전제품,4,1
washing-machine,washing machine,명사,세탁기,The washing machine is loud.,집/가구,,가전제품,2,1
fan,fan,명사,"선풍기, 부채",Turn on the fan.,집/가구,,가전제품,2,1
air-conditioner,air conditioner,명사,에어컨,Turn on the air conditioner.,집/가구,,가전제품,2,1
bathtub,bathtub,명사,욕조,I take a bath in the bathtub.,집/가구,,욕실·식탁,3,1
toilet,toilet,명사,"변기, 화장실",Where is the toilet?,집/가구,,욕실·식탁,2,1
towel,towel,명사,수건,I dry my hands with a towel.,집/가구,,욕실·식탁,2,1
toothbrush,toothbrush,명사,칫솔,This is my toothbrush.,집/가구,,욕실·식탁,2,1
toothpaste,toothpaste,명사,치약,I need toothpaste.,집/가구,,욕실·식탁,2,1
plate,plate,명사,접시,The plate is on the table.,집/가구,,욕실·식탁,1,1
chopsticks,chopsticks,명사,젓가락,I use chopsticks.,집/가구,,욕실·식탁,2,1
healthy,healthy,형용사,건강한,Vegetables are healthy.,건강/질병,,건강 상태,2,1
unhealthy,unhealthy,형용사,건강하지 않은,Too much candy is unhealthy.,건강/질병,,건강 상태,4,1
health,health,명사,건강,Health is important.,건강/질병,,건강 상태,3,1
pain,pain,명사,"아픔, 통증",I feel pain in my leg.,건강/질병,,증상,3,1
flu,flu,명사,독감,I have the flu.,건강/질병,,증상,3,1
fever,fever,명사,열,I have a fever.,건강/질병,,증상,2,1
cough,cough,명사,기침,I have a cough.,건강/질병,,증상,2,1
headache,headache,명사,두통,I have a headache.,건강/질병,,증상,2,1
stomachache,stomachache,명사,복통,I have a stomachache.,건강/질병,,증상,2,1
toothache,toothache,명사,치통,I have a toothache.,건강/질병,,증상,2,1
earache,earache,명사,귀앓이,I have an earache.,건강/질병,,증상,3,1
sore-throat,sore throat,명사,목이 아픔,I have a sore throat.,건강/질병,,증상,3,1
runny-nose,runny nose,명사,콧물,I have a runny nose.,건강/질병,,증상,3,1
sneeze,sneeze,동사,재채기하다,I sneeze a lot.,건강/질병,,증상,3,1
bruise,bruise,명사,멍,I have a bruise on my knee.,건강/질병,,증상,4,1
broken,broken,형용사,"부러진, 고장 난",My arm is broken.,건강/질병,상태,증상,2,1
medicine,medicine,명사,약,Take your medicine.,건강/질병,,치료,2,1
bandage,bandage,명사,"붕대, 반창고",I put a bandage on my finger.,건강/질병,,치료,3,1
cold-2,cold,명사,감기,I have a cold.,건강/질병,,증상,2,2
noodle,noodle,명사,"국수, 면",I eat noodles for lunch.,음식,,곡물·빵·면,1,1
mall,mall,명사,쇼핑센터,We go to the mall.,쇼핑,,가게·사람,2,1
customer,customer,명사,"손님, 고객",The customer buys a toy.,쇼핑,,가게·사람,3,1
clerk,clerk,명사,점원,The clerk is kind.,쇼핑,,가게·사람,3,1
cashier,cashier,명사,계산원,I pay the cashier.,쇼핑,,가게·사람,3,1
seller,seller,명사,파는 사람,The seller has fruit.,쇼핑,,가게·사람,3,1
buyer,buyer,명사,사는 사람,The buyer likes the bag.,쇼핑,,가게·사람,4,1
cart,cart,명사,"카트, 수레",Put it in the cart.,쇼핑,,가게 물건,2,1
counter,counter,명사,계산대,Pay at the counter.,쇼핑,,가게 물건,3,1
receipt,receipt,명사,영수증,Keep the receipt.,쇼핑,,가게 물건,3,1
price,price,명사,가격,What is the price?,쇼핑,돈,값,2,1
cost,cost,명사,"값, 비용",The cost is ten dollars.,쇼핑,돈,값,3,1
