"번호","과정","레벨","단계","학년","id","문법 이름","문장 틀","한 줄 설명","예문 1","예문 2","예문 3","예문 4","예문 5","예문 6","예문 7","예문 8","이럴 때 써요","쉽게 이해하기","예문 해석","규칙","틀리기 쉬운 것 (✗ → ✓)","한 줄 정리","단어장 바꾸기 틀","넣을 카테고리","검수 메모"
"11","초등","1 Notice & Name","grow","초3","imperative","명령문 (~해요 / ~하지 마요)","[ ], please. / Don't [ ].","부탁하거나 시킬 때 동사로 바로 시작해요. 하지 말라고 할 때는 Don't.","Sit down, please.","Don't run.","Open the door.","Stand up.","Don't shout.","","","","선생님이 교실에서 부탁하거나 지시할 때
""~하지 마""라고 말할 때","주어(You) 없이 동사로 바로 시작해요: Sit down.
please를 붙이면 더 공손해져요.
하지 말라고 할 때는 Don't + 동사: Don't run.","1. 앉아 주세요.
2. 뛰지 마.
3. 문을 열어.
4. 일어서.
5. 소리 지르지 마.","동사원형으로 시작 (~해)
Don't + 동사원형 (~하지 마)","✗ Not run. → ✓ Don't run. (하지 말라고 할 때는 Don't)","동사로 시작하면 ""~해!"", Don't로 시작하면 ""~하지 마!""","Don't {verb}.","동작",""
"12","초등","1 Notice & Name","grow","초3","lets","Let's ~","Let's [ ].","""우리 같이 ~하자""라고 할 때 써요.","Let's play.","Let's go home.","Let's sing.","Let's dance.","Let's eat lunch.","","","","친구에게 ""우리 같이 ~하자""라고 할 때","Let's는 Let us를 줄인 말로 ""우리 ~하자""라는 뜻이에요.
Let's 뒤에는 동사를 그대로 써요.
대답: Okay! / Sounds good! / Sorry, I can't.","1. 놀자.
2. 집에 가자.
3. 노래하자.
4. 춤추자.
5. 점심 먹자.","Let's + 동사원형","✗ Let's playing. → ✓ Let's play. (Let's 뒤에는 동사원형)","같이 하고 싶으면 Let's!","Let's {verb}.","동작, 취미/오락",""
"13","초등","1 Notice & Name","bridge","초3","adj-noun","꾸미는 말 + 명사 (a red apple)","a [색·크기] [ ]","색깔·크기 같은 말은 명사 앞에 붙여요.","a red apple","a big dog","a small box","a yellow bus","a long snake","","","","물건의 색깔이나 크기를 함께 말할 때","색깔·크기 같은 꾸미는 말은 이름(명사) 앞에 와요: a red apple
a/an은 꾸미는 말 앞에 와요: a big dog
꾸미는 말이 모음 소리로 시작하면 an: an orange ball","1. 빨간 사과
2. 큰 개
3. 작은 상자
4. 노란 버스
5. 긴 뱀","a/an + 꾸미는 말(형용사) + 명사","✗ a apple red → ✓ a red apple (꾸미는 말은 명사 앞에)","영어도 한국어처럼 ""빨간 → 사과"" 순서예요.","It's {a_adj} {noun}.","색깔, 크기, 사물, 동물",""
"14","초등","2 Build & Respond","entry","초4","is-it","Is it ~? — Yes, it is. / No, it isn't.","Is it a [ ]? — Yes, it is. / No, it isn't.","be동사를 앞으로 보내면 질문이 돼요.","Is it a cat? Yes, it is.","Is it a pen? No, it isn't.","Are you tired?","Is it a hat? Yes, it is.","Is she your mom?","","","","""그거 ~야?""라고 물어볼 때
퀴즈처럼 맞혀 볼 때","It is를 Is it으로 순서만 바꾸면 질문이 돼요.
대답: 맞으면 Yes, it is. / 아니면 No, it isn't.
사람에게 물을 때는 Are you …? / Is she …?","1. 그거 고양이야? 응, 맞아.
2. 그거 펜이야? 아니, 아니야.
3. 너 피곤해?
4. 그거 모자야? 응, 맞아.
5. 그녀가 너희 엄마야?","Is it + a/an + 명사? → Yes, it is. / No, it isn't.","✗ It is a cat? → ✓ Is it a cat? (질문은 is를 앞으로)","is를 맨 앞으로 옮기면 질문 완성!","Is it {a_noun}?","사물, 학교/문구, 장난감, 음식, 동물, 옷, 집/가구",""
"15","초등","2 Build & Respond","entry","초4","be-not","be동사 부정 (isn't / I'm not)","It isn't a [ ]. / I'm not [ ].","아니라고 할 때 be동사 뒤에 not을 붙여요.","It isn't a dog.","I'm not sad.","They aren't here.","He isn't tall.","It isn't hot.","","","","""~이 아니야""라고 말할 때","am, is, are 뒤에 not을 붙이면 ""아니다""가 돼요.
isn't = is not, aren't = are not, I'm not = I am not
I 다음에는 amn't가 없어요. 꼭 I'm not이라고 해요.","1. 그건 개가 아니야.
2. 나는 슬프지 않아.
3. 그들은 여기 없어.
4. 그는 키가 크지 않아.
5. 덥지 않아.","is not = isn't · are not = aren't · I am not = I'm not","✗ I amn't sad. → ✓ I'm not sad. (I는 I'm not)","be동사 바로 뒤에 not!","I'm not {adj}.","감정, 상태",""
"16","초등","2 Build & Respond","entry","초4","do-you-like","Do you like ~? — Yes, I do.","Do you like [ ]? — Yes, I do. / No, I don't.","일반동사 질문은 Do로 시작해요.","Do you like milk? Yes, I do.","Do you have a pet? No, I don't.","Do you play soccer?","Do you like pizza?","No, I don't.","","","","친구가 무엇을 좋아하는지, 가지고 있는지 물을 때","like, have 같은 동사로 물을 때는 Do you …?로 시작해요.
대답: Yes, I do. / No, I don't.
Do you 뒤의 동사는 그대로 써요.","1. 우유 좋아해? 응, 좋아해.
2. 반려동물 있어? 아니, 없어.
3. 축구 해?
4. 피자 좋아해?
5. 아니, 안 좋아해.","Do you + 동사원형 …?
→ Yes, I do. / No, I don't.","✗ You like milk? → ✓ Do you like milk? (질문은 Do로 시작)","""너 ~해?""는 Do you로 시작!","Do you like {nouns}?","동물, 음식",""
"17","초등","2 Build & Respond","entry","초4","i-dont","I don't ~ (일반동사 부정)","I don't like [ ].","일반동사를 아니라고 할 때 don't를 앞에 붙여요.","I don't like carrots.","I don't have a cat.","We don't swim.","I don't like rain.","They don't eat meat.","","","","""나는 ~ 안 해 / ~ 안 좋아해""라고 말할 때","like, have, eat 같은 동사 앞에 don't를 넣으면 ""안 ~한다""가 돼요.
don't = do not
I, you, we, they 다음에 써요.","1. 나는 당근을 안 좋아해.
2. 나는 고양이가 없어.
3. 우리는 수영을 안 해.
4. 나는 비를 안 좋아해.
5. 그들은 고기를 안 먹어.","I · you · we · they + don't + 동사원형","✗ I not like carrots. → ✓ I don't like carrots. (동사 앞에 don't)","싫다고 할 때는 동사 앞에 don't!","I don't like {nouns}.","동물, 음식",""
"18","초등","2 Build & Respond","grow","초4","third-s","3인칭 단수 -s (He likes ~)","He likes [ ]. / She has [ ].","he, she, it이 주어면 동사 끝에 -s를 붙여요. have는 has가 돼요.","He likes pizza.","She has a bike.","My dog runs fast.","He eats rice.","She reads books.","","","","다른 한 사람(he, she)이나 한 마리 동물이 하는 일을 말할 때","he, she, it(한 사람·한 개)이 주어면 동사 끝에 -s를 붙여요.
ch, sh, s, o로 끝나면 -es: watch → watches, go → goes
have는 has로 바뀌어요.","1. 그는 피자를 좋아해.
2. 그녀는 자전거가 있어. (have → has)
3. 우리 개는 빨리 달려.
4. 그는 밥을 먹어.
5. 그녀는 책을 읽어.","he · she · it + 동사-s / -es
have → has","✗ He like pizza. → ✓ He likes pizza. (he 다음 동사는 -s)
✗ She have a bike. → ✓ She has a bike. (she 다음 have는 has)","주인공이 ""한 사람(한 개)""이면 동사에 -s!","She {verb_s} every day.","동작, 일상생활",""
"19","초등","2 Build & Respond","grow","초4","does-he","Does he ~? — Yes, he does.","Does she like [ ]? — Yes, she does.","he, she가 주어인 질문은 Does로 시작하고, 동사는 그대로 써요.","Does he like cats?","Yes, he does.","She doesn't eat fish.","Does she have a dog?","No, she doesn't.","","","","다른 사람이 무엇을 좋아하는지, 하는지 물을 때","he, she가 주어인 질문은 Does로 시작해요.
Does가 -s를 가져가서, 뒤의 동사는 그대로 써요: Does he like …?
대답: Yes, he does. / No, she doesn't.","1. 그는 고양이를 좋아해?
2. 응, 좋아해.
3. 그녀는 생선을 안 먹어.
4. 그녀는 개가 있어?
5. 아니, 없어.","Does + he/she + 동사원형 …?
He/She doesn't + 동사원형","✗ Does he likes cats? → ✓ Does he like cats? (Does 뒤에는 동사원형)","Does가 -s를 가져가요. 뒤 동사는 맨몸으로!","Does he like {nouns}?","동물, 음식",""
"20","초등","2 Build & Respond","grow","초4","there-is","There is / There are","There is a [ ]. / There are two [ ]s.","""~이 있다""고 할 때 써요. 하나면 is, 여러 개면 are.","There is a cat.","There are three apples.","Is there a park?","There are two dogs.","There is a ball.","","","","어디에 무엇이 ""있다""고 말할 때
그림을 보고 설명할 때","There is + 하나 / There are + 여러 개
""거기에""라는 뜻이 아니라 그냥 ""~이 있다""예요.
물을 때는 Is there …? / Are there …?","1. 고양이가 있어.
2. 사과가 세 개 있어.
3. 공원이 있어?
4. 개가 두 마리 있어.
5. 공이 하나 있어.","There is + a/an + 명사 (하나)
There are + 복수 명사 (여러 개)","✗ There is three apples. → ✓ There are three apples. (여러 개면 are)","하나면 is, 여러 개면 are!","There is {a_noun}. / There are two {nouns}.","사물, 학교/문구, 장난감, 음식, 동물, 옷, 집/가구",""
"21","초등","2 Build & Respond","grow","초4","prepositions","위치 전치사 (in / on / under)","The [ ] is on the table.","안에는 in, 위에는 on, 아래에는 under.","The cat is on the bed.","The ball is under the chair.","The pen is in the box.","The book is on the desk.","The dog is in the house.","","","","물건이 어디에 있는지 말할 때","in = ~ 안에, on = ~ 위에(닿아 있음), under = ~ 아래에
위치 말 앞에는 보통 the를 써요: on the bed
질문은 Where is the …?","1. 고양이가 침대 위에 있어.
2. 공이 의자 아래에 있어.
3. 펜이 상자 안에 있어.
4. 책이 책상 위에 있어.
5. 개가 집 안에 있어.","in (안) · on (위) · under (아래) + the + 장소","✗ The cat is on bed. → ✓ The cat is on the bed. (장소 앞에 the)","손으로 상자를 들고 in · on · under를 직접 보여 주면 금방 외워요.","The {noun} is on the table.","사물, 학교/문구, 장난감, 동물",""
"22","초등","2 Build & Respond","grow","초4","present-progressive","현재진행 (I am ~ing)","I am [ ]ing. / What are you doing?","""지금 ~하고 있어""는 be동사 + 동사ing로 말해요.","I'm reading.","She is swimming.","What are you doing?","He is running.","We are eating lunch.","","","","지금 이 순간 하고 있는 일을 말할 때","am/is/are + 동사ing = ""지금 ~하는 중이야""
동사에 -ing를 붙여요. e로 끝나면 e를 빼고(make → making), 짧은 단어는 끝 글자를 한 번 더(swim → swimming)
""뭐 하고 있어?""는 What are you doing?","1. 나는 책을 읽고 있어.
2. 그녀는 수영하고 있어.
3. 너 뭐 하고 있어?
4. 그는 달리고 있어.
5. 우리는 점심을 먹고 있어.","am · is · are + 동사ing","✗ I reading. → ✓ I'm reading. (be동사(am)를 빼먹지 않기)","지금 하고 있으면 be동사 + -ing!","I'm {verb_ing}.","동작, 취미/오락, 일상생활",""
"23","초등","2 Build & Respond","grow","초4","wh-questions","의문사 질문 (What / Where / Who)","Where is the [ ]? / Who is she?","무엇은 what, 어디는 where, 누구는 who로 물어요.","Where is my bag?","Who is he?","What is your name?","What is this?","Where are you?","","","","무엇·어디·누구를 물어볼 때","What = 무엇, Where = 어디, Who = 누구
질문하는 말이 맨 앞에 와요: Where is my bag?
대답은 Yes/No가 아니라 알맞은 정보로 해요.","1. 내 가방 어디 있어?
2. 그는 누구야?
3. 네 이름은 뭐야?
4. 이건 뭐야?
5. 너 어디 있어?","What / Where / Who + is(are) + …?","✗ Where my bag is? → ✓ Where is my bag? (질문은 의문사 + is + 주어)","무엇 What, 어디 Where, 누구 Who!","Where is the {noun}?","사물, 학교/문구, 장난감, 동물",""
"24","초등","2 Build & Respond","grow","초4","possessive","소유 (my / your / Whose ~?)","Whose [ ] is this? — It's my [ ].","누구 것인지 물을 땐 whose, 답할 땐 my, your, his, her.","Whose cap is this?","It's my cap.","This is her book.","This is his bag.","It's your pencil.","","","","물건이 누구 것인지 묻고 답할 때","Whose = 누구의
my(나의), your(너의), his(그의), her(그녀의)는 물건 이름 앞에 와요.
대답: It's my cap. (그건 내 모자야)","1. 이건 누구 모자야?
2. 그건 내 모자야.
3. 이건 그녀의 책이야.
4. 이건 그의 가방이야.
5. 그건 네 연필이야.","Whose + 명사 + is this?
my · your · his · her + 명사","✗ This is she book. → ✓ This is her book. (""그녀의""는 her)","누구 거냐고 물으면 Whose!","Whose {noun} is this?","사물, 학교/문구, 장난감, 옷",""
"25","초등","2 Build & Respond","bridge","초4","time-day","시각·요일 묻고 답하기","What time is it? — It's [ ] o'clock.","시각은 What time, 요일은 What day로 물어요.","What time is it? It's three o'clock.","What day is it? It's Monday.","I get up at seven.","I go to bed at nine.","It's Friday today.","","","","지금 몇 시인지, 무슨 요일인지 말할 때
하루 일과를 말할 때","몇 시? → What time is it? It's three o'clock.
무슨 요일? → What day is it? It's Monday.
""~시에""는 at: I get up at seven.","1. 몇 시야? 3시야.
2. 무슨 요일이야? 월요일이야.
3. 나는 7시에 일어나.
4. 나는 9시에 자.
5. 오늘은 금요일이야.","What time is it? → It's + 시각
What day is it? → It's + 요일
at + 시각","✗ I get up in seven. → ✓ I get up at seven. (시각 앞에는 at)","시간은 What time, 요일은 What day!","(바꾸기 안 함)","",""
"26","초등","2 Build & Respond","bridge","초4","how-many","How many ~? / How much ~?","How many [ ]s? / How much is it?","개수는 How many, 값은 How much로 물어요.","How many dogs?","How many apples do you have?","How much is it?","How many cats?","How much is this pen?","","","","몇 개인지 셀 때
물건값을 물을 때","How many + 여러 개 이름(-s) = 몇 개?
How much is it? = 얼마예요?
How many 뒤의 이름은 꼭 -s를 붙여요.","1. 개가 몇 마리야?
2. 사과 몇 개 있어?
3. 얼마예요?
4. 고양이가 몇 마리야?
5. 이 펜 얼마예요?","How many + 복수 명사?
How much is it?","✗ How many dog? → ✓ How many dogs? (How many 뒤에는 -s)","개수는 How many, 값은 How much!","How many {nouns} do you have?","사물, 학교/문구, 장난감, 동물",""
"27","초등","2 Build & Respond","bridge","초4","weather","날씨 (It's sunny)","How's the weather? — It's [ ].","날씨를 말할 때 주어는 it이에요.","It's sunny.","It's raining.","It's cold today.","It's windy.","It's snowing.","","","","오늘 날씨를 말할 때","날씨를 말할 때는 It's로 시작해요. 여기서 it은 ""그것""이 아니에요.
sunny(맑은), cloudy(흐린), windy(바람 부는), cold(추운), hot(더운)
비·눈이 오는 중이면 It's raining. / It's snowing.","1. 맑아.
2. 비가 오고 있어.
3. 오늘 추워.
4. 바람이 불어.
5. 눈이 오고 있어.","How's the weather? → It's + 날씨 말","✗ Is sunny. → ✓ It's sunny. (날씨는 It's로 시작)","날씨는 무조건 It's로 시작!","It's {adj}.","자연/날씨",""
"28","초등","3 Connect & Describe","entry","초5","and-but","문장 잇기 and / but","I like [ ] and [ ]. / I like [ ], but I don't like [ ].","같은 쪽 이야기는 and, 반대 이야기는 but으로 이어요.","I like cats and dogs.","I like milk, but I don't like juice.","It is small but fast.","I have a cat and a dog.","I like red, but she likes blue.","","","","두 가지를 이어서 말할 때(and)
반대되는 이야기를 이어서 말할 때(but)","and = 그리고, ~와
but = 그런데, 하지만
두 문장을 but으로 이을 때는 앞에 쉼표(,)를 찍으면 읽기 쉬워요.","1. 나는 고양이와 개를 좋아해.
2. 나는 우유는 좋아하지만 주스는 안 좋아해.
3. 그건 작지만 빨라.
4. 나는 고양이와 개가 있어.
5. 나는 빨강을 좋아하는데, 그녀는 파랑을 좋아해.","A and B (같은 쪽 이야기)
A, but B (반대 이야기)","✗ I like cats but dogs. → ✓ I like cats and dogs. (둘 다 좋아하면 and)","같은 편은 and, 반대편은 but!","I like {nouns} and {nouns}.","동물, 음식",""
"29","초등","3 Connect & Describe","grow","초5","because","이유 말하기 because","I like [ ] because it's [ ].","왜 그런지 이유를 because 뒤에 말해요.","I like summer because it's hot.","I'm happy because it's my birthday.","I stay home because I am sick.","I like dogs because they are cute.","I drink water because I'm thirsty.","","","","""왜?""에 대한 이유를 말할 때","because = 왜냐하면, ~ 때문에
because 뒤에는 이유가 되는 문장(주어 + 동사)이 와요.
질문 Why …?에 Because …로 대답할 수 있어요.","1. 여름이 좋아, 더우니까.
2. 나는 행복해, 내 생일이니까.
3. 나는 집에 있어, 아프니까.
4. 나는 개가 좋아, 귀여우니까.
5. 나는 물을 마셔, 목마르니까.","결과 + because + 이유(주어 + 동사)","✗ I like summer because hot. → ✓ I like summer because it's hot. (because 뒤에는 주어 + 동사)","이유를 붙이고 싶으면 because!","(바꾸기 안 함)","",""
"30","초등","3 Connect & Describe","grow","초5","so","결과 말하기 so","It's [ ], so I [ ].","앞 문장 때문에 생긴 결과를 so 뒤에 말해요.","It's cold, so I wear a coat.","I'm hungry, so I eat bread.","It's late, so I go to bed.","It's raining, so I take an umbrella.","I'm tired, so I sleep.","","","","앞의 일 때문에 어떻게 했는지(결과)를 말할 때","so = 그래서
앞에 이유, so 뒤에 결과가 와요: It's cold, so I wear a coat.
because와 순서가 반대예요: I wear a coat because it's cold.","1. 추워서 코트를 입어.
2. 배고파서 빵을 먹어.
3. 늦어서 자러 가.
4. 비가 와서 우산을 챙겨.
5. 피곤해서 자.","이유, so + 결과","✗ So it's cold, I wear a coat. → ✓ It's cold, so I wear a coat. (so는 결과 앞에)","because는 이유 앞, so는 결과 앞!","(바꾸기 안 함)","",""
"31","초등","3 Connect & Describe","entry","초5","describe","생김새 설명하기 (It has ~ / It is ~)","It is [ ]. It has [ ].","is로 모습을, has로 가진 부분을 설명해요.","It is big. It has four legs.","It is yellow. It has a long neck.","She has long hair.","It is small. It has long ears.","He has big eyes.","","","","동물이나 사람의 생김새를 설명할 때
수수께끼처럼 설명하고 맞히기 할 때","It is + 모습(크기·색) / It has + 가진 부분(다리·귀·꼬리)
he, she, it이 주어면 have 대신 has를 써요.
두세 문장을 이어서 말하면 멋진 설명이 돼요.","1. 그건 커. 다리가 네 개 있어.
2. 그건 노래. 목이 길어.
3. 그녀는 머리가 길어.
4. 그건 작아. 귀가 길어.
5. 그는 눈이 커.","It is + 모습
It / He / She has + 가진 부분","✗ It have four legs. → ✓ It has four legs. (it 다음에는 has)","모습은 is, 가진 것은 has!","(바꾸기 안 함)","",""
"32","초등","3 Connect & Describe","grow","초5","frequency","빈도 부사 (always / usually / sometimes / never)","I always [ ]. / I sometimes [ ].","얼마나 자주 하는지 동사 앞에 붙여 말해요.","I always brush my teeth.","I sometimes play games.","I never eat bugs.","I usually walk to school.","She always smiles.","","","","얼마나 자주 하는지 말할 때","always(항상) > usually(보통) > sometimes(가끔) > never(절대 안)
동사 바로 앞에 넣어요: I always brush my teeth.
never는 그 자체로 ""안 한다""는 뜻이라 not을 또 쓰지 않아요.","1. 나는 항상 이를 닦아.
2. 나는 가끔 게임을 해.
3. 나는 절대 벌레를 안 먹어.
4. 나는 보통 걸어서 학교에 가.
5. 그녀는 항상 웃어.","always · usually · sometimes · never + 동사","✗ I brush always my teeth. → ✓ I always brush my teeth. (자주를 말하는 말은 동사 앞에)","자주 말하는 단어는 동사 바로 앞에 쏙!","I sometimes {verb}.","동작, 취미/오락, 일상생활",""
